;metro_distances;districts;prices;prices_per_meter;meters;materials;heights;floors
34;9;Пушкинский;15449000;405486;38,09995906;Кирпичный;2;1
35;180;Ленинградская область;2300000;59896;38,39989315;Кирпичный;2;1
36;21;Ленинградская область;4149000;94726;43,80001267;Кирпичный;2;1
37;9;Пушкинский;8800000;187553;46,92007059;Кирпичный;2;1
38;135;Ленинградская область;3300000;79518;41,50003773;Кирпичный;2;1
39;240;Ленинградская область;1100000;26316;41,7996656;Кирпичный;2;1
40;231;Ленинградская область;2500000;62500;40;Кирпичный;2;1
41;78;Кронштадтский;4650000;108899;42,70011662;Кирпичный;2;1
42;9;Приморский;5790000;111132;52,10020516;Кирпичный;2;1
43;10;Ленинградская область;5500000;85404;64,39979392;Кирпичный;2;1
44;120;Ленинградская область;1810000;45025;40,19988895;Кирпичный;2;1
45;3;Петродворцовый;4970000;115581;43,00014708;Кирпичный;2;1
46;54;Курортный;4930000;119370;41,30015917;Кирпичный;2;1
47;63;Ленинградская область;2900000;80556;35,99980138;Кирпичный;2;1
48;19;Ленинградская область;4750000;105556;44,99981053;Кирпичный;2;1
49;123;Ленинградская область;2700000;63529;42,50027546;Кирпичный;2;1
50;15;Приморский;9900000;212446;46,6000772;Кирпичный;2;1
51;12;Невский;6050000;149752;40,40012821;Кирпичный;2;1
52;9;Кировский;7400000;157447;46,99994284;Кирпичный;2;1
53;13;Невский;6600000;124528;53,00012849;Кирпичный;2;1
54;78;Пушкинский;6850000;135375;50,60018467;Кирпичный;2;1
55;105;Ленинградская область;3900000;79268;49,20018166;Кирпичный;2;1
56;60;Курортный;6600000;151724;43,50003955;Кирпичный;2;1
76;75;Кронштадтский;6800000;93151;72,99975309;Кирпичный;2;2
77;90;Петродворцовый;8950000;154310;58,00012961;Кирпичный;2;2
78;60;Ленинградская область;3450000;80420;42,89977618;Кирпичный;2;2
79;45;Приморский;5800000;109848;52,80023305;Кирпичный;2;2
80;15;Ленинградская область;3300000;76923;42,9000429;Кирпичный;2;2
81;16;Петродворцовый;5849000;125246;46,70009421;Кирпичный;2;2
82;105;Ленинградская область;2700000;74176;36,39991372;Кирпичный;2;2
83;45;Пушкинский;14999000;187488;79,99978665;Кирпичный;2;2
84;105;Ленинградская область;2650000;64165;41,29977402;Кирпичный;2;2
85;150;Ленинградская область;3150000;73598;42,80007609;Кирпичный;2;2
86;105;Ленинградская область;4550000;92857;49,00007538;Кирпичный;2;2
87;14;Петродворцовый;5995000;132633;45,19991254;Кирпичный;2;2
88;10;Центральный;12000000;160000;75;Кирпичный;2;2
89;30;Красносельский;6390000;120566;53,00001659;Кирпичный;2;2
90;90;Ленинградская область;2700000;65217;41,4002484;Кирпичный;2;2
91;180;Ленинградская область;1850000;41111;45,00012162;Кирпичный;2;2
92;84;Кронштадтский;8700000;153169;56,80000522;Кирпичный;2;2
93;90;Колпинский;4000000;94563;42,29984243;Кирпичный;2;2
94;210;Ленинградская область;1400000;46358;30,19974977;Кирпичный;2;2
95;150;Ленинградская область;9980000;116047;85,99963808;Кирпичный;2;2
96;9;Пушкинский;12650000;212605;59,50001176;Кирпичный;2;2
97;13;Центральный;20900000;368607;56,69995415;Кирпичный;2;2
98;2;Ленинградская область;4800000;111628;42,99996417;Кирпичный;2;2
99;270;Ленинградская область;1600000;38186;41,90017284;Кирпичный;2;2
100;270;Ленинградская область;1800000;43584;41,29955947;Кирпичный;2;2
101;51;Ленинградская область;4300000;92873;46,29978573;Кирпичный;2;2
102;9;Ленинградская область;4750000;118750;40;Кирпичный;2;2
103;60;Красносельский;6000000;159574;37,60011029;Кирпичный;2;2
104;63;Ленинградская область;4400000;91286;48,20016213;Кирпичный;2;2
105;9;Ленинградская область;3750000;91463;41,00018587;Кирпичный;2;2
106;17;Курортный;5100000;118605;42,99987353;Кирпичный;2;2
107;10;Фрунзенский;7290000;142661;51,10016052;Кирпичный;2;2
108;45;Приморский;4550000;81541;55,80014962;Кирпичный;2;2
109;45;Пушкинский;9900000;152778;64,79990575;Кирпичный;2;2
110;2;Ленинградская область;3500000;74468;47,00005371;Кирпичный;2;2
111;5;Петродворцовый;5300000;100760;52,60023819;Кирпичный;2;2
112;27;Ленинградская область;3300000;91667;35,99986909;Кирпичный;2;2
113;135;Ленинградская область;1550000;36385;42,59997252;Кирпичный;2;2
114;18;Выборгский;4550000;100220;45,40011974;Кирпичный;2;2
115;117;Петродворцовый;6599000;149299;44,19989417;Кирпичный;2;2
116;12;Центральный;12800000;151659;84,39987076;Кирпичный;3;1
117;15;Невский;7400000;151951;48,69990984;Кирпичный;3;1
118;150;Ленинградская область;5000000;121951;41,0000738;Кирпичный;3;1
119;75;Кронштадтский;4500000;112500;40;Кирпичный;3;1
120;81;Кронштадтский;5150000;98659;52,20000203;Кирпичный;3;1
121;21;Ленинградская область;5200000;94718;54,89980785;Кирпичный;3;1
122;90;Ленинградская область;6108575;106700;57,25;Кирпичный;3;1
124;87;Пушкинский;12500000;150784;82,90004244;Кирпичный;3;1
125;18;Красносельский;6300000;121154;51,99993397;Кирпичный;3;1
126;90;Пушкинский;7449000;126684;58,79984844;Кирпичный;3;1
127;60;Красногвардейский;6449000;129498;49,79999691;Кирпичный;3;1
128;9;Адмиралтейский;12800000;145455;87,999725;Кирпичный;3;1
129;72;Пушкинский;19900000;297015;66,99998317;Кирпичный;3;1
130;75;Петродворцовый;5899000;139127;42,40010925;Кирпичный;3;1
131;66;Ленинградская область;5849000;112697;51,90022805;Кирпичный;3;1
132;20;Пушкинский;12600000;190909;66,00003143;Кирпичный;3;1
133;10;Центральный;14049000;169265;83,00002954;Кирпичный;3;1
134;6;Пушкинский;12899000;195736;65,89998774;Кирпичный;3;1
135;105;Кронштадтский;6990000;121565;57,50010283;Кирпичный;3;1
136;9;Пушкинский;7300000;123729;58,9999111;Кирпичный;3;1
137;114;Пушкинский;7100000;163218;43,50010416;Кирпичный;3;1
138;9;Центральный;12700000;222028;57,19999279;Кирпичный;3;1
139;18;Колпинский;4300000;103365;41,60015479;Кирпичный;3;1
140;7;Фрунзенский;12560000;186074;67,50002687;Кирпичный;3;1
141;7;Фрунзенский;14400000;187013;76,99999465;Кирпичный;3;1
142;5;Колпинский;5915000;98583;60,00020287;Кирпичный;3;1
143;105;Петродворцовый;7500000;174419;42,99990253;Кирпичный;3;1
144;60;Петродворцовый;5100000;124694;40,9001235;Кирпичный;3;1
145;150;Ленинградская область;5145000;123678;41,59996119;Кирпичный;3;1
146;126;Петродворцовый;5300000;125891;42,09991183;Кирпичный;3;1
147;216;Петродворцовый;6000000;118343;50,70008366;Кирпичный;3;1
148;13;Центральный;7500000;137112;54,69980746;Кирпичный;3;1
149;10;Центральный;7650000;139854;54,69990133;Кирпичный;3;1
150;120;Красносельский;4170000;80658;51,6997694;Кирпичный;3;1
151;9;Центральный;10900000;178396;61,10002466;Кирпичный;3;1
152;90;Петродворцовый;5700000;135714;42,00008842;Кирпичный;3;1
153;5;Центральный;12100000;160477;75,40021311;Кирпичный;3;1
154;18;Красногвардейский;6600000;132530;49,80004527;Кирпичный;3;1
155;14;Пушкинский;15600000;242991;64,19990864;Кирпичный;3;1
156;20;Калининский;8250000;104430;79,00028727;Кирпичный;3;1
157;8;Петродворцовый;8100000;163636;49,50011;Кирпичный;3;1
158;13;Калининский;28000000;264151;105,9999773;Кирпичный;3;1
159;30;Ленинградская область;10500000;118510;88,60011813;Кирпичный;3;1
160;240;Ленинградская область;1220000;28176;43,29926178;Кирпичный;3;1
161;60;Ленинградская область;4800000;85714;56,00018667;Кирпичный;3;1
162;12;Невский;7600000;126667;59,99984211;Кирпичный;3;1
163;12;Петродворцовый;11999000;226824;52,90004585;Кирпичный;3;1
164;10;Василеостровский;18100000;196739;92,00006099;Кирпичный;3;1
165;30;Невский;6500000;122642;52,999788;Кирпичный;3;1
166;90;Пушкинский;11350000;181920;62,39006157;Кирпичный;3;1
167;9;Пушкинский;11850000;208995;56,69992105;Кирпичный;3;1
168;19;Петродворцовый;5500000;129717;42,39999383;Кирпичный;3;1
169;7;Центральный;13380000;161205;82,99990695;Кирпичный;3;1
170;9;Петродворцовый;11700000;133867;87,40018078;Кирпичный;3;1
171;156;Ленинградская область;5100000;97143;52,49992279;Кирпичный;3;1
172;9;Пушкинский;9500000;146832;64,69979296;Кирпичный;3;1
173;12;Адмиралтейский;6850000;169136;40,4999527;Кирпичный;3;1
174;27;Красносельский;5800000;140777;41,19991192;Кирпичный;3;1
175;10;Петродворцовый;6200000;93514;66,30023312;Кирпичный;3;1
176;60;Пушкинский;7800000;152941;51,00005885;Кирпичный;3;1
177;13;Центральный;13900000;220635;62,99997734;Кирпичный;3;1
178;90;Ленинградская область;2350000;41964;56,00038128;Кирпичный;3;1
179;18;Адмиралтейский;33598000;566577;59,29997158;Кирпичный;3;1
180;81;Кронштадтский;4900000;109620;44,69987229;Кирпичный;3;1
181;60;Пушкинский;7200000;122449;58,7999902;Кирпичный;3;1
182;3;Петродворцовый;6250000;151332;41,29992335;Кирпичный;3;1
