level,oik,tik,uik,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,"Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных участковой избирательной комиссией избирателям","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке",Число погашенных на избирательном участке открепительных удостоверений,"Число открепительных удостоверений, выданных территориальной комиссией избирателям",Число утраченных открепительных удостоверений,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Вишневский Борис Геннадьевич,Вишневский Борис Иванович,Вишневский Борис Лазаревич,Евсеев Александр Иванович,Костров Ярослав Всеволодович,Лебедева Екатерина Олеговна,Ржаненков Александр Николаевич,Садовская Дарья Сергеевна,Суходольский Вадим Александрович,url
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2250,1971,1500,583,25,892,25,583,21,587,0,0,0,0,0,0,0,0,17,5,183,51,133,34,132,22,10,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2251,1259,1000,378,5,617,5,373,12,366,0,0,0,0,0,0,0,0,7,5,112,40,53,16,106,21,6,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2252,1788,1500,509,41,950,41,508,18,531,0,0,0,0,0,0,0,0,4,3,152,57,118,29,117,33,18,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2253,2074,2000,667,35,1298,35,667,21,681,0,0,0,0,0,0,0,0,3,11,191,50,176,33,160,44,13,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2254,1544,1500,436,10,1054,10,436,21,425,0,0,0,0,0,0,0,0,8,7,120,39,92,21,104,23,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2255,1305,1000,416,31,553,31,416,16,431,0,0,0,0,0,0,0,0,4,4,126,38,100,24,100,25,10,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2256,1873,1500,603,56,841,56,562,18,600,0,0,0,0,0,0,0,0,8,4,103,83,98,12,261,23,8,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2257,1900,1500,560,18,922,18,560,28,550,0,0,0,0,0,0,0,0,8,7,160,41,137,27,122,38,10,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2258,1970,1500,598,29,873,29,598,40,587,0,0,0,0,0,0,0,0,11,7,115,39,148,22,207,26,12,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2259,2142,2000,684,15,1301,15,673,21,667,0,0,0,0,0,0,0,0,8,4,157,60,203,37,146,39,13,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2260,1906,1500,562,13,925,13,562,20,555,0,0,0,0,0,0,0,0,11,6,145,46,176,23,105,32,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2261,1264,1000,401,17,582,17,400,14,403,0,0,0,0,0,0,0,0,5,6,113,52,86,11,93,26,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2262,1301,1000,424,32,544,32,421,21,432,0,0,0,0,0,0,0,0,4,7,109,37,98,15,124,29,9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №30,УИК №2276,5,500,3,2,495,2,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916386&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2206,1474,1250,446,12,792,12,441,12,441,0,0,0,0,0,0,0,0,7,6,168,39,64,14,104,31,8,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2207,1272,1000,410,16,574,16,410,17,409,0,0,0,0,0,0,0,0,4,7,128,29,41,18,141,30,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2209,2072,1500,654,20,826,20,654,67,607,0,0,0,0,0,0,0,0,30,31,143,58,100,34,153,34,24,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2210,2034,1500,692,13,795,13,691,31,673,0,0,0,0,0,0,0,0,15,11,253,55,83,29,147,69,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2211,1615,1500,517,12,971,12,512,20,504,0,0,0,0,0,0,0,0,10,15,183,35,77,33,105,35,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2212,1243,1000,422,2,576,2,419,12,409,0,0,0,0,0,0,0,0,5,3,146,34,52,23,112,28,6,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №64,УИК №2213,1521,1500,412,10,1078,10,412,15,407,0,0,0,0,0,0,0,0,2,8,141,33,60,21,97,34,11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916385&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
