id,genre,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
5LZtB6nxvjIhUoElp3Zqk0,canadian pop,75,202356,0.592,0.885,2.38E-06,0.0843,-4.944,0,0.0807,98.991,0.731
7fUYUcWy853HS8YJn0b3Sr,adult standards,48,181266,0.529,0.772,2.21E-06,0.316,-7.013,1,0.0287,91.751,0.853
4Iedi94TIaB2GGb1nMB68v,atl hip hop,86,135959,0.856,0.564,0,0.134,-6.295,0,0.392,77.972,0.483
7nuQ1LgM6l5FLaJmlODoqj,canadian pop,65,160143,0.748,0.783,1.58E-05,0.314,-4.419,0,0.0558,120.049,0.935
6KVxMOxlSYpC5nrvyWhYhx,canadian pop,62,171078,0.53,0.79,1.07E-06,0.122,-5.031,1,0.0344,146.09,0.438
385VOmGbguaPG57TgoW8Lh,canadian pop,63,150781,0.351,0.368,0.00603,0.124,-8.132,1,0.0557,84.224,0.362
6SGG5AxHShqSYiV9fCWpZz,electropop,76,206045,0.581,0.584,0,0.366,-4.928,1,0.284,179.954,0.756
0bZFa5DZcx9HWx25m2Nd19,canadian pop,65,214751,0.492,0.672,0.000212,0.116,-6.779,1,0.0366,140.027,0.229
47ohYW8e7dxCYn9qbUMBCI,adult standards,47,166453,0.325,0.759,0.000362,0.0773,-7.146,1,0.053,126.627,0.36
138oQeapLds5IeJrdRfeUd,canadian pop,63,62422,0.498,0.199,0.000573,0.493,-11.011,1,0.0353,76.046,0.47
56KDoLjFIm7Yc7fX1XgpNw,canadian pop,63,167193,0.37,0.39,0,0.0823,-6.958,1,0.0419,124.802,0.309
5ld8E3DVBXCCWQ54yrkWVp,canadian pop,66,189072,0.562,0.869,0.0293,0.122,-5.38,1,0.058,164.936,0.928
6EW1fwOk4JHmTZKINZsyjB,hip hop,71,222801,0.664,0.553,0,0.181,-8.316,1,0.415,87.009,0.722
653lIkynLG6WiwoEfsY3Ri,british indie rock,68,191066,0.522,0.9,0,0.3,-2.631,0,0.0719,160.01,0.579
2LUOkrWpTz1q5QeZY5jAHi,canadian pop,60,191887,0.328,0.393,9.54E-05,0.104,-5.164,1,0.0285,96.241,0.237
7MXgrcOQAJ5VwSNUL0lDd3,canadian contemporary r&b,71,216123,0.49,0.694,4.62E-05,0.0946,-5.793,0,0.0618,170.903,0.249
5jpNBhgAk5OmfB0W5i5NaO,canadian pop,63,175781,0.757,0.628,0,0.05,-3.944,1,0.077,100.004,0.609
0UauNGiFTVXTsgvVz6LBMf,canadian pop,64,211850,0.359,0.585,0,0.194,-4.722,1,0.0374,168.026,0.447
2V6pjeOCuPBVlatcWTXUtP,cali rap,80,142000,0.692,0.774,0,0.155,-4.385,0,0.0872,98.066,0.533
2GwberkV36NoC5snp51cLC,canadian pop,60,149768,0.412,0.162,2.16E-06,0.354,-14.356,1,0.146,179.63,0.375
6ct2F3rfS0zh4eag3Pbv0i,russelater,34,137739,0.811,0.895,0,0.061,-4.259,1,0.0792,114.962,0.199
6vyrpJ7sbQgnQRzPWvTRCQ,,47,215353,0.761,0.761,0.26,0.0656,-7.247,1,0.0534,127.005,0.856
7FIK9bWmKiCbk69iyv885N,,47,185153,0.689,0.927,0,0.283,-5.152,0,0.216,140.139,0.746
0Ie5uiv54KgCr7P4sYDTHl,hollywood,54,166146,0.553,0.476,0,0.281,-8.869,1,0.0649,113.401,0.558
2Y0ktCGrGoGcQFXsGztvhi,dance pop,61,154746,0.619,0.771,0,0.114,-2.204,1,0.0601,81.966,0.704
